timestamp,hostname,round_trip_ms,total_resolution_ms,result,response,errstr,transport,dns_ip,resolution_step,cache_status
2025-10-28 13:17:18,abmcare.com,10012.161,10012.461,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:17:28,anvilnetworksolutions.net,10013.606,10013.791,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:17:38,archiportale.com,10010.941,10010.974,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:17:48,arcoat.com,10011.139,10011.192,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:17:58,asseenontvlaunchpad.com,10010.926,10010.958,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:18:08,autopareri.com,10011.401,10011.449,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:18:18,bbqinjector.com,10011.122,10011.189,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:18:28,begleyhutton.com,10011.069,10011.114,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:18:38,bigliettieventi.info,10011.084,10011.117,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:18:48,bmw-parts.ru,10010.952,10010.998,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:18:58,bookingnest.com,10010.984,10011.035,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:19:08,callcomm.info,10010.742,10010.772,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:19:18,cdmail.fr,10010.651,10010.684,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:19:28,ceskykutil.cz,10010.695,10010.727,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:19:38,charityjob.co.uk,10010.905,10010.934,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:19:48,chekiang.info,10010.975,10011.015,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:19:58,chenghuavideo.asia,10011.537,10011.582,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:20:08,cia.it,10010.884,10010.924,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:20:18,ciber.com,10011.457,10011.489,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:20:28,clickdownloadfiles.com,10011.094,10011.143,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:20:38,consumerreviews24.com,10010.949,10011.001,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:20:48,cosmeticaestheticsurgery.com,10010.534,10010.561,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:20:58,crsgfk.de,10010.706,10010.733,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:21:08,currencyrates.org,10010.642,10010.686,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:21:18,cushinglawoffices.com,10010.583,10010.612,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:21:28,cuteteenschoolgirlz.com,10010.765,10010.786,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:21:38,de.vu,10011.458,10011.489,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:21:48,dilw.ie,10010.685,10010.721,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:21:58,djoncbjcmv,10010.777,10010.811,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:22:08,dock2office.com,10013.127,10013.149,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:22:18,drglendza.co.rs,10010.735,10010.782,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:22:28,dricom-hosting.nl,10010.755,10010.789,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:22:38,e-daily.gr,10010.913,10011.042,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:22:48,e-hps.com,10010.573,10010.598,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:22:58,ecolems.com,10010.482,10010.506,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:23:08,eggcityradio.com,10010.703,10010.737,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:23:18,egov.sy,10010.733,10010.773,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:23:28,fmnara.com,10011.018,10011.054,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:23:38,freeditorial.com,10011.075,10011.101,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:23:48,ftf.com,10010.632,10010.662,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:23:58,gadanguides.com,10010.634,10010.664,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:24:08,gadgetgearpro.com,10010.791,10010.817,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:24:18,gardenofwords.com,10010.710,10010.737,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:24:28,get-webby.com,10010.745,10010.797,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:24:38,ghimpele.ro,10010.820,10010.849,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:24:48,giuseppelivraghi.it,10010.545,10010.576,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:24:58,gmxwnlajnl,10010.995,10011.020,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:25:08,gregginn.com,10010.944,10010.972,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:25:18,gxjbsj.com,10010.758,10010.790,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:25:28,hayalforum.net,10010.773,10010.813,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:25:38,hdcric.com,10011.520,10011.613,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:25:49,hralda.info,10010.899,10010.941,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:25:59,hutago.com,10010.736,10010.770,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:26:09,iael.com,10007.723,10007.765,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:26:19,isatap,10011.279,10011.312,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:26:29,ishidatic.com,10011.259,10011.362,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:26:39,isilon,10010.691,10010.730,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:26:49,laigang001.com,10011.850,10011.877,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:26:59,marilynlingerie.com,10010.880,10010.919,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:27:09,mechachal.org,10011.698,10011.740,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:27:19,medipacademy.com,10011.084,10011.122,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:27:29,metar.gr,10010.708,10010.761,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:27:39,michaelbyers.org,10010.748,10010.776,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:27:49,minecraftserverdeals.com,10010.859,10010.884,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:27:59,monitis.com,10010.797,10010.826,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:28:09,morban.co.uk,10011.607,10011.652,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:28:19,mptrmkwart,10011.006,10011.051,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:28:29,nasaspaceflight.com,10011.311,10011.337,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:28:39,ncees.org,10010.938,10010.983,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
