hostname,latency_ms,result,errstr
abmcare.com,0.899,FAIL,Temporary failure in name resolution
anvilnetworksolutions.net,0.689,FAIL,Temporary failure in name resolution
archiportale.com,0.066,FAIL,Temporary failure in name resolution
arcoat.com,0.092,FAIL,Temporary failure in name resolution
asseenontvlaunchpad.com,0.038,FAIL,Temporary failure in name resolution
autopareri.com,0.042,FAIL,Temporary failure in name resolution
bbqinjector.com,0.039,FAIL,Temporary failure in name resolution
begleyhutton.com,0.035,FAIL,Temporary failure in name resolution
bigliettieventi.info,0.037,FAIL,Temporary failure in name resolution
bmw-parts.ru,0.034,FAIL,Temporary failure in name resolution
bookingnest.com,0.034,FAIL,Temporary failure in name resolution
callcomm.info,0.034,FAIL,Temporary failure in name resolution
cdmail.fr,0.034,FAIL,Temporary failure in name resolution
ceskykutil.cz,0.036,FAIL,Temporary failure in name resolution
charityjob.co.uk,0.040,FAIL,Temporary failure in name resolution
chekiang.info,0.040,FAIL,Temporary failure in name resolution
chenghuavideo.asia,0.035,FAIL,Temporary failure in name resolution
cia.it,0.036,FAIL,Temporary failure in name resolution
ciber.com,0.038,FAIL,Temporary failure in name resolution
clickdownloadfiles.com,0.035,FAIL,Temporary failure in name resolution
consumerreviews24.com,0.039,FAIL,Temporary failure in name resolution
cosmeticaestheticsurgery.com,0.077,FAIL,Temporary failure in name resolution
crsgfk.de,0.143,FAIL,Temporary failure in name resolution
currencyrates.org,0.508,FAIL,Temporary failure in name resolution
cushinglawoffices.com,0.076,FAIL,Temporary failure in name resolution
cuteteenschoolgirlz.com,0.038,FAIL,Temporary failure in name resolution
de.vu,0.036,FAIL,Temporary failure in name resolution
dilw.ie,0.040,FAIL,Temporary failure in name resolution
djoncbjcmv,0.037,FAIL,Temporary failure in name resolution
dock2office.com,0.062,FAIL,Temporary failure in name resolution
drglendza.co.rs,0.040,FAIL,Temporary failure in name resolution
dricom-hosting.nl,0.036,FAIL,Temporary failure in name resolution
e-daily.gr,0.034,FAIL,Temporary failure in name resolution
e-hps.com,0.037,FAIL,Temporary failure in name resolution
ecolems.com,0.035,FAIL,Temporary failure in name resolution
eggcityradio.com,0.039,FAIL,Temporary failure in name resolution
egov.sy,0.036,FAIL,Temporary failure in name resolution
fmnara.com,0.038,FAIL,Temporary failure in name resolution
freeditorial.com,0.036,FAIL,Temporary failure in name resolution
ftf.com,0.038,FAIL,Temporary failure in name resolution
gadanguides.com,0.036,FAIL,Temporary failure in name resolution
gadgetgearpro.com,0.046,FAIL,Temporary failure in name resolution
gardenofwords.com,0.033,FAIL,Temporary failure in name resolution
get-webby.com,0.032,FAIL,Temporary failure in name resolution
ghimpele.ro,0.033,FAIL,Temporary failure in name resolution
giuseppelivraghi.it,0.033,FAIL,Temporary failure in name resolution
gmxwnlajnl,0.023,FAIL,Temporary failure in name resolution
gregginn.com,0.033,FAIL,Temporary failure in name resolution
gxjbsj.com,0.034,FAIL,Temporary failure in name resolution
hayalforum.net,0.043,FAIL,Temporary failure in name resolution
hdcric.com,0.037,FAIL,Temporary failure in name resolution
hralda.info,0.036,FAIL,Temporary failure in name resolution
hutago.com,0.033,FAIL,Temporary failure in name resolution
iael.com,0.033,FAIL,Temporary failure in name resolution
isatap,0.022,FAIL,Temporary failure in name resolution
ishidatic.com,0.036,FAIL,Temporary failure in name resolution
isilon,0.022,FAIL,Temporary failure in name resolution
laigang001.com,0.040,FAIL,Temporary failure in name resolution
marilynlingerie.com,0.034,FAIL,Temporary failure in name resolution
mechachal.org,0.035,FAIL,Temporary failure in name resolution
medipacademy.com,0.038,FAIL,Temporary failure in name resolution
metar.gr,0.034,FAIL,Temporary failure in name resolution
michaelbyers.org,0.034,FAIL,Temporary failure in name resolution
minecraftserverdeals.com,0.034,FAIL,Temporary failure in name resolution
monitis.com,0.077,FAIL,Temporary failure in name resolution
morban.co.uk,0.040,FAIL,Temporary failure in name resolution
mptrmkwart,0.024,FAIL,Temporary failure in name resolution
nasaspaceflight.com,0.037,FAIL,Temporary failure in name resolution
ncees.org,0.034,FAIL,Temporary failure in name resolution
noblewomanhood.com,0.034,FAIL,Temporary failure in name resolution
note-so-easy.co.za,0.034,FAIL,Temporary failure in name resolution
